Description,TotalSalesDollars,ProfitMargin
Blackstone Montry Pnt Grigio,5561.659999999959,37.251468086865685
Blackstone Syrah Cal,1527.2400000000014,26.761347266965295
Blackstone Winemakers Malbec,419.30000000000007,83.25542570951586
Blackstone Znfdl Cal,3721.709999999982,33.20247950538831
Bleu de Mer Rose,9404.759999999942,29.702193357405832
Bliss Cab Svgn,363.7400000000001,5.778853026887377
Bliss Chard,5570.559999999966,35.54687499999958
Bliss Merlot,167.88,32.88062902072909
Blood Orange Liqueur,3158.8199999999943,87.35762088374771
Bloom Gin,3782.2799999999907,85.57774675592496
Blossom Hill Chard,7154.4899999999725,30.392522737469534
Blossom Hill Merlot,791.28,21.656050955414
Blossom Hill Wh Znfdl,263.76,19.358507734303913
Blue Chair Bay Coc Spced Rum,645.6600000000001,36.25127776228975
Blue Chair Bay CocSpc Cream,2803.349999999999,84.72684466798651
Blue Current Junmai Ginjo,5298.20999999998,7.578597299842422
Bluebird Chardonnay,215.76,32.48053392658509
Bluebird Pinot Noir,9959.209999999917,34.473115839508786
Bluegray Priorat DOQ,2356.6899999999987,30.118938002028234
Bocelli Prosecco,4728.509999999982,39.37392540144757
Bocelli Sangiovese,431.76,32.40689271817677
Bodega Elena de Mendoza Mlbc,1013.5500000000005,96.71254501504613
Bodega Garzon Albarino,179.88,35.090060040026685
Bodega Noemia D Patagonia 13,2873.8499999999954,13.066096003618702
Bodegas Borsao 14 Rose,8417.119999999939,39.74661166764834
Bodegas Faustino V RSV Rioj,6701.009999999969,35.57239878764512
Bodegas Jeromin Zesto Rosada,287.76,31.02585487906589
Bodegas Numanthia Termes,815.6600000000002,20.127258906897513
Bodini Malbec Mendoza,457.62,28.04073248546829
Boen Pnt Nr RRV,1949.3500000000004,1.1193474747993353
Bolla Bardolino,6721.7899999999345,36.40265465002568
Bolla Merlot,4383.839999999985,38.99526442570871
Bolla Prosecco 3pk/187mls,1573.9500000000007,94.74443279646748
Bolla Soave,2132.5000000000005,32.24853458382183
Bolla Torr'Alta Veronese Ros,2050.92,41.138610964835294
Bolla Valpo Ripasso Cls Sup,683.4599999999999,42.8759547010798
Bollinger Brut Grande Annee,7787.409999999998,81.55176111184592
Bollinger R.D. 2002,3359.879999999999,61.369453670964425
Bols Amaretto Liqueur,5155.949999999982,43.13306545376513
Bols Anisette,1588.410000000001,15.676682972280517
Bols Apricot Flavored Brand,670.3900000000001,23.11191992720657
Bols Blackberry Brandy,560.4900000000001,23.791682278006753
Bols Brown Creme de Cacao,1998.0000000000014,25.0450450450451
Bols Butterscotch,319.68000000000006,23.61111111111113
Bols Cherry Flavored Brandy,2593.639999999997,35.24313320275744
Bols Creme De Noyaux,1108.89,15.34958381805228
Bols Creme de Banana,2467.5299999999943,30.904588799325488
Bols Creme de Cassis,1828.1700000000014,32.16166986658795
Bols Genever Amsterdam,164.95000000000002,20.00606244316461
Bols Green Creme De Menthe,4795.199999999956,27.65890890890825
Bols Lychee,139.85999999999999,28.028028028028025
Bols Maraschino Liqueur,218.31,19.01424579726077
Bols Melon Liqueur,869.1300000000005,45.40057298677991
Bols Peach Flavored Brandy,2329.879999999997,18.13183511597152
Bols Peach Schnapps,6088.969999999933,49.985547570175456
Bols Peppermint Schnapps,1318.680000000001,37.19173719173724
Bols Pomegranate Liqueur,465.0100000000003,50.46558138534658
Bols Pumpkin Spice,6183.809999999971,67.18657267930274
Bols Sloe Gin,1338.6600000000008,32.351754739814474
Bols Strawberry Liqueur,1568.430000000001,36.2980815210115
Bols White Creme De Cacao,3786.209999999984,14.744295746933911
Bols White Creme De Menthe,219.78000000000003,13.049413049413051
Bols Yogurt Liqueur,1857.5700000000004,66.33881899470815
Bon Affair Svgn Bl Spritzer,9076.909999999983,44.583912765022035
Bonal Apertif,56.97,35.49236440231701
Bongiovanni Dolceo D'Alba,815.5200000000002,83.10771041789289
Bonnie Rose Orange Peel,8035.649999999958,59.00269424377596
Bonnie Rose Spiced Apple,7419.0699999999615,60.913969001505386
Bonny Doon Clos de Gilroy Rd,860.4300000000001,52.30291830828773
Bonpas Blanc Rhone Vly,2547.9599999999955,34.0813827532613
Bonpas Ch du Pape Rouge Rsv,5976.589999999988,58.86985722627779
Bonterra Pnt Nr,1075.3100000000002,46.501009011354874
Boones Sangria,391.69000000000017,30.577752814725972
Boones Strawberry Hill,1988.3500000000033,32.580280131767694
Booth's Cask Mellowed Gin,3783.1399999999917,76.39104024699054
Borealis Northern Whites,1706.78,26.936101899483223
Bota Box Rsl,2094.8800000000006,28.603070342931343
Bota Brick Cab Svgn,427.5900000000002,34.189293482073985
Bota Brick Chard,269.74000000000007,20.990583524875824
Bota Brick Pnt Grigio,387.63000000000017,17.529602971906233
